task_type,zip_code,city,county,provider_slug,missing_category,current_status,priority,suggested_official_source,last_researched_date,sources_reviewed,next_recommended_action,research_notes
missing-provider,32766,Oviedo,Seminole,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32766,Oviedo,Seminole,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32766,Oviedo,Seminole,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32773,Sanford,Seminole,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32773,Sanford,Seminole,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32773,Sanford,Seminole,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32773,Sanford,Seminole,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32773,Sanford,Seminole,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32117,Daytona Beach,Volusia,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32117,Daytona Beach,Volusia,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32117,Daytona Beach,Volusia,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32117,Daytona Beach,Volusia,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32117,Daytona Beach,Volusia,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32118,Daytona Beach,Volusia,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32118,Daytona Beach,Volusia,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32118,Daytona Beach,Volusia,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32118,Daytona Beach,Volusia,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32118,Daytona Beach,Volusia,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32119,Daytona Beach,Volusia,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32119,Daytona Beach,Volusia,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32119,Daytona Beach,Volusia,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32119,Daytona Beach,Volusia,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32119,Daytona Beach,Volusia,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32127,Port Orange,Volusia,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32127,Port Orange,Volusia,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32127,Port Orange,Volusia,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32127,Port Orange,Volusia,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32127,Port Orange,Volusia,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32129,Port Orange,Volusia,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32129,Port Orange,Volusia,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32129,Port Orange,Volusia,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32129,Port Orange,Volusia,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32129,Port Orange,Volusia,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32168,New Smyrna Beach,Volusia,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32168,New Smyrna Beach,Volusia,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32168,New Smyrna Beach,Volusia,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32168,New Smyrna Beach,Volusia,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32168,New Smyrna Beach,Volusia,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32174,Ormond Beach,Volusia,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32174,Ormond Beach,Volusia,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32174,Ormond Beach,Volusia,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32174,Ormond Beach,Volusia,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32174,Ormond Beach,Volusia,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
missing-provider,32724,DeLand,Volusia,,electricity,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32724,DeLand,Volusia,,water,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32724,DeLand,Volusia,,sewer,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32724,DeLand,Volusia,,trash-recycling,pending,1,Official city county or utility territory source,2026-08-01,Official city county or utility territory source,Locate and document an authoritative provider-to-area source.,A true provider record is still required.
missing-provider,32724,DeLand,Volusia,,internet,pending,4,https://broadbandmap.fcc.gov/home,2026-08-01,https://broadbandmap.fcc.gov/home,Review official provider address checkers and the FCC Broadband Map; never assign ZIP-wide availability.,Internet providers and technology vary by exact address; keep address confirmation mandatory.
